gene_symbol,ensembl_id,uniprot_id,gene_description,chromosome,protein_class,evidence,rna_tissue_specificity,rna_tissue_distribution
ARHGAP33,ENSG00000004777,O14559,Rho GTPase activating protein 33,19,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
NDUFAB1,ENSG00000004779,O14561,NADH:ubiquinone oxidoreductase subunit AB1,16,"Essential proteins, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
PDK4,ENSG00000004799,Q16654,Pyruvate dehydrogenase kinase 4,7,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
SLC22A16,ENSG00000004809,Q86VW1,Solute carrier family 22 member 16,6,"Metabolic proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in some
ZMYND10,ENSG00000004838,O75800,Zinc finger MYND-type containing 10,3,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Group enriched,Detected in many
ABCB5,ENSG00000004846,Q2M3G0,ATP binding cassette subfamily B member 5,7,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
ARX,ENSG00000004848,Q96QS3,Aristaless related homeobox,X,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Group enriched,Detected in some
SLC25A13,ENSG00000004864,Q9UJS0,Solute carrier family 25 member 13,7,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in all
ST7,ENSG00000004866,Q9NRC1,Suppression of tumorigenicity 7,7,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
CDC27,ENSG00000004897,P30260,Cell division cycle 27,17,"Cancer-related genes, Essential proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SLC4A1,ENSG00000004939,P02730,Solute carrier family 4 member 1 (Diego blood group),17,"Blood group antigen proteins, CD markers, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
CALCR,ENSG00000004948,,Calcitonin receptor,7,"Human disease related genes, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in some
HCCS,ENSG00000004961,P53701,Holocytochrome c synthase,X,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
DVL2,ENSG00000004975,O14641,Dishevelled segment polarity protein 2,17,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
PRSS22,ENSG00000005001,Q9GZN4,Serine protease 22,16,"Enzymes, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
UPF1,ENSG00000005007,Q92900,UPF1 RNA helicase and ATPase,19,"Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SKAP2,ENSG00000005020,O75563,Src kinase associated phosphoprotein 2,7,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
SLC25A5,ENSG00000005022,P05141,Solute carrier family 25 member 5,X,"Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
MCUB,ENSG00000005059,Q9NWR8,Mitochondrial calcium uniporter dominant negative subunit beta,4,"Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
HOXA11,ENSG00000005073,P31270,Homeobox A11,7,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
POLR2J,ENSG00000005075,P52435,RNA polymerase II subunit J,7,"Metabolic proteins, Predicted intracellular proteins, RNA polymerase related proteins",Evidence at protein level,Low tissue specificity,Detected in all
DHX33,ENSG00000005100,Q9H6R0,DEAH-box helicase 33,17,"Enzymes, Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
MEOX1,ENSG00000005102,P50221,Mesenchyme homeobox 1,17,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
THSD7A,ENSG00000005108,Q9UPZ6,Thrombospondin type 1 domain containing 7A,7,"Disease related genes, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
LIG3,ENSG00000005156,P49916,DNA ligase 3,17,"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
RPAP3,ENSG00000005175,Q9H6T3,RNA polymerase II associated protein 3,12,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ACSM3,ENSG00000005187,Q53FZ2,Acyl-CoA synthetase medium chain family member 3,16,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
REXO5,ENSG00000005189,Q96IC2,RNA exonuclease 5,16,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in many
CIAPIN1,ENSG00000005194,Q6FI81,Cytokine induced apoptosis inhibitor 1,16,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
SPPL2B,ENSG00000005206,Q8TCT7,Signal peptide peptidase like 2B,19,"Enzymes, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
ATOSB,ENSG00000005238,Q7L5A3,Atos homolog B,9,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
COPZ2,ENSG00000005243,Q9P299,COPI coat complex subunit zeta 2,17,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
PRKAR2B,ENSG00000005249,P31323,Protein kinase cAMP-dependent type II regulatory subunit beta,7,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
MSL3,ENSG00000005302,Q8N5Y2,MSL complex subunit 3,X,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
CREBBP,ENSG00000005339,Q92793,CREB binding protein,16,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
TSPOAP1,ENSG00000005379,O95153,TSPO associated protein 1,17,"Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
MPO,ENSG00000005381,P05164,Myeloperoxidase,17,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in some
PON1,ENSG00000005421,P27169,Paraoxonase 1,7,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted secreted proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
GCFC2,ENSG00000005436,P16383,GC-rich sequence DNA-binding factor 2,2,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
WDR54,ENSG00000005448,Q9H977,WD repeat domain 54,2,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in all
CROT,ENSG00000005469,Q9UKG9,Carnitine O-octanoyltransferase,7,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
ABCB4,ENSG00000005471,P21439,ATP binding cassette subfamily B member 4,7,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
KMT2E,ENSG00000005483,Q8IZD2,Lysine methyltransferase 2E (inactive),7,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
RHBDD2,ENSG00000005486,Q6NTF9,Rhomboid domain containing 2,7,"Enzymes, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in all
SOX8,ENSG00000005513,P57073,SRY-box transcription factor 8,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enriched,Detected in many
IBTK,ENSG00000005700,Q9P2D0,Inhibitor of Bruton tyrosine kinase,6,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
ZNF195,ENSG00000005801,O14628,Zinc finger protein 195,11,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
MYCBP2,ENSG00000005810,O75592,MYC binding protein 2,13,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
FBXL3,ENSG00000005812,Q9UKT7,F-box and leucine rich repeat protein 3,13,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ITGAL,ENSG00000005844,P20701,Integrin subunit alpha L,16,"CD markers, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
PDK2,ENSG00000005882,Q15119,Pyruvate dehydrogenase kinase 2,17,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in all
ITGA3,ENSG00000005884,P26006,Integrin subunit alpha 3,17,"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in many
ZFX,ENSG00000005889,P17010,Zinc finger protein X-linked,X,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
LAMP2,ENSG00000005893,P13473,Lysosomal associated membrane protein 2,X,"CD markers, Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
ITGA2B,ENSG00000005961,P08514,Integrin subunit alpha 2b,17,"Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in many
ASB4,ENSG00000005981,Q9Y574,Ankyrin repeat and SOCS box containing 4,7,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in some
GDE1,ENSG00000006007,Q9NZC3,Glycerophosphodiester phosphodiesterase 1,16,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
REX1BD,ENSG00000006015,Q96EN9,Required for excision 1-B domain containing,19,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in many
CRLF1,ENSG00000006016,O75462,Cytokine receptor like factor 1,19,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in many
OSBPL7,ENSG00000006025,Q9BZF2,Oxysterol binding protein like 7,17,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
TMEM98,ENSG00000006042,Q9Y2Y6,Transmembrane protein 98,17,"Disease related genes, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
YBX2,ENSG00000006047,Q9Y2T7,Y-box binding protein 2,17,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enriched,Detected in many
KRT33A,ENSG00000006059,O76009,Keratin 33A,17,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in some
MAP3K14,ENSG00000006062,Q99558,Mitogen-activated protein kinase kinase kinase 14,17,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ABCC8,ENSG00000006071,Q09428,ATP binding cassette subfamily C member 8,11,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Group enriched,Detected in many
CACNG3,ENSG00000006116,O60359,Calcium voltage-gated channel auxiliary subunit gamma 3,16,"FDA approved drug targets, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enriched,Detected in some
TMEM132A,ENSG00000006118,Q24JP5,Transmembrane protein 132A,11,"Predicted intracellular proteins, Predicted membrane proteins, Transporters",Evidence at protein level,Tissue enhanced,Detected in many
AP2B1,ENSG00000006125,P63010,Adaptor related protein complex 2 subunit beta 1,17,"Cancer-related genes, Predicted intracellular proteins, Transporters",Evidence at protein level,Low tissue specificity,Detected in all
TAC1,ENSG00000006128,P20366,Tachykinin precursor 1,7,Predicted secreted proteins,Evidence at protein level,Tissue enriched,Detected in many
ZNF263,ENSG00000006194,O14978,Zinc finger protein 263,16,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Low tissue specificity,Detected in all
CX3CL1,ENSG00000006210,P78423,C-X3-C motif chemokine ligand 1,16,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Evidence at protein level,Low tissue specificity,Detected in many
SPATA20,ENSG00000006282,Q8TB22,Spermatogenesis associated 20,17,"Predicted intracellular proteins, Predicted secreted proteins",Evidence at protein level,Tissue enhanced,Detected in all
CACNA1G,ENSG00000006283,O43497,Calcium voltage-gated channel subunit alpha1 G,17,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels",Evidence at protein level,Tissue enhanced,Detected in some
TNFRSF12A,ENSG00000006327,Q9NP84,TNF receptor superfamily member 12A,16,"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Low tissue specificity,Detected in all
DLX6,ENSG00000006377,P56179,Distal-less homeobox 6,7,"Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in some
MAP3K9,ENSG00000006432,P80192,Mitogen-activated protein kinase kinase kinase 9,14,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
RALA,ENSG00000006451,P11233,RAS like proto-oncogene A,7,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins",Evidence at protein level,Low tissue specificity,Detected in all
BAIAP2L1,ENSG00000006453,Q9UHR4,BAR/IMD domain containing adaptor protein 2 like 1,7,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
KDM7A,ENSG00000006459,Q6ZMT4,Lysine demethylase 7A,7,"Enzymes, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
ETV1,ENSG00000006468,P50549,ETS variant transcription factor 1,7,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in many
AGK,ENSG00000006530,Q53H12,Acylglycerol kinase,7,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
ALDH3B1,ENSG00000006534,P43353,Aldehyde dehydrogenase 3 family member B1,11,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in many
TTC22,ENSG00000006555,Q5TAA0,Tetratricopeptide repeat domain 22,1,Predicted intracellular proteins,Evidence at protein level,Tissue enhanced,Detected in many
PHTF2,ENSG00000006576,Q8N3S3,Putative homeodomain transcription factor 2,7,"Predicted membrane proteins, Transcription factors",Evidence at protein level,Tissue enhanced,Detected in all
CCL26,ENSG00000006606,Q9Y258,C-C motif chemokine ligand 26,7,"Human disease related genes, Predicted secreted proteins",Evidence at protein level,Group enriched,Detected in many
FARP2,ENSG00000006607,O94887,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",2,Predicted intracellular proteins,Evidence at protein level,Low tissue specificity,Detected in all
USH1C,ENSG00000006611,Q9Y6N9,USH1 protein network component harmonin,11,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Evidence at protein level,Tissue enhanced,Detected in many
GGCT,ENSG00000006625,O75223,Gamma-glutamylcyclotransferase,7,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Evidence at protein level,Low tissue specificity,Detected in all
DBF4,ENSG00000006634,Q9UBU7,DBF4 zinc finger,7,"Essential proteins, Predicted intracellular proteins",Evidence at protein level,Tissue enriched,Detected in single
TBXA2R,ENSG00000006638,P21731,Thromboxane A2 receptor,19,"Disease related genes, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins",Evidence at protein level,Tissue enriched,Detected in many
IFRD1,ENSG00000006652,O00458,Interferon related developmental regulator 1,7,"Predicted intracellular proteins, Predicted membrane proteins",Evidence at protein level,Tissue enhanced,Detected in all
LGALS14,ENSG00000006659,Q8TCE9,Galectin 14,19,Predicted intracellular proteins,Evidence at protein level,Tissue enriched,Detected in single
