accession,keyword
A0A2R8Y7D0,Tumor suppressor
A0A8I5KQE6,Acetylation
A0A8I5KQE6,Cell membrane
A0A8I5KQE6,Cytoplasm
A0A8I5KQE6,Membrane
A0A8I5KQE6,Nucleus
A0A8I5KQE6,Proteomics identification
A0A8I5KQE6,Receptor
A0A8I5KQE6,Reference proteome
A0A8I5KQE6,Repeat
A0A8I5KQE6,Ribonucleoprotein
A0A8I5KQE6,Ribosomal protein
A0AV02,Alternative splicing
A0AV02,Chloride
A0AV02,Glycoprotein
A0AV02,Ion transport
A0AV02,Membrane
A0AV02,Potassium
A0AV02,Potassium transport
A0AV02,Proteomics identification
A0AV02,Reference proteome
A0AV02,Symport
A0AV02,Transmembrane
A0AV02,Transmembrane helix
A0AV02,Transport
A0AV96,3D-structure
A0AV96,Alternative splicing
A0AV96,Cytoplasm
A0AV96,Methylation
A0AV96,mRNA processing
A0AV96,mRNA splicing
A0AV96,Nucleus
A0AV96,Proteomics identification
A0AV96,Reference proteome
A0AV96,Repeat
A0AV96,RNA-binding
A0AVF1,Alternative splicing
A0AVF1,Cell projection
A0AVF1,Ciliopathy
A0AVF1,Cilium
A0AVF1,Disease variant
A0AVF1,Protein transport
A0AVF1,Proteomics identification
A0AVF1,Reference proteome
A0AVF1,Repeat
A0AVF1,TPR repeat
A0AVF1,Transport
A0AVI4,Alternative splicing
A0AVI4,Endoplasmic reticulum
A0AVI4,Membrane
A0AVI4,Metal-binding
A0AVI4,Proteomics identification
A0AVI4,Reference proteome
A0AVI4,Transferase
A0AVI4,Transmembrane
A0AVI4,Transmembrane helix
A0AVI4,Ubl conjugation pathway
A0AVI4,Unfolded protein response
A0AVI4,Zinc
A0AVI4,Zinc-finger
A0AVK6,3D-structure
A0AVK6,Activator
A0AVK6,Cell cycle
A0AVK6,DNA-binding
A0AVK6,Nucleus
A0AVK6,Phosphoprotein
A0AVK6,Proteomics identification
A0AVK6,Reference proteome
A0AVK6,Repressor
A0AVK6,Transcription
A0AVK6,Transcription regulation
A0AVT1,3D-structure
A0AVT1,Acetylation
A0AVT1,Alternative splicing
A0AVT1,ATP-binding
A0AVT1,Ligase
A0AVT1,Magnesium
A0AVT1,Metal-binding
A0AVT1,Nucleotide-binding
A0AVT1,Phosphoprotein
A0AVT1,Proteomics identification
A0AVT1,Reference proteome
A0AVT1,Ubl conjugation pathway
A0FGR8,3D-structure
A0FGR8,Alternative splicing
A0FGR8,Calcium
A0FGR8,Cell membrane
A0FGR8,Endocytosis
A0FGR8,Endoplasmic reticulum
A0FGR8,Lipid transport
A0FGR8,Lipid-binding
A0FGR8,Membrane
A0FGR8,Metal-binding
A0FGR8,Phosphoprotein
A0FGR8,Proteomics identification
A0FGR8,Reference proteome
A0FGR8,Repeat
A0FGR8,Transmembrane
A0FGR8,Transmembrane helix
A0FGR8,Transport
A0FGR9,Alternative splicing
A0FGR9,Calcium
A0FGR9,Cell membrane
A0FGR9,Endoplasmic reticulum
A0FGR9,Lipid transport
A0FGR9,Lipid-binding
A0FGR9,Membrane
A0FGR9,Metal-binding
A0FGR9,Proteomics identification
A0FGR9,Reference proteome
A0FGR9,Repeat
A0FGR9,Transmembrane
A0FGR9,Transmembrane helix
A0FGR9,Transport
A0JLT2,3D-structure
A0JLT2,Activator
A0JLT2,Alternative splicing
A0JLT2,Nucleus
A0JLT2,Phosphoprotein
A0JLT2,Proteomics identification
A0JLT2,Reference proteome
A0JLT2,Transcription
A0JLT2,Transcription regulation
A0JNW5,Alternative splicing
A0JNW5,Coiled coil
A0JNW5,Cytoplasm
A0JNW5,Endosome
A0JNW5,Phosphoprotein
A0JNW5,Proteomics identification
A0JNW5,Reference proteome
A0JP26,Alternative splicing
A0JP26,ANK repeat
A0JP26,Coiled coil
A0JP26,Reference proteome
A0JP26,Repeat
A0MZ66,Acetylation
A0MZ66,Alternative splicing
A0MZ66,Cell projection
A0MZ66,Coiled coil
A0MZ66,Cytoplasm
A0MZ66,Cytoskeleton
A0MZ66,Developmental protein
A0MZ66,Direct protein sequencing
A0MZ66,Phosphoprotein
A0MZ66,Proteomics identification
A0MZ66,Reference proteome
A0PJK1,Alternative splicing
A0PJK1,Cell membrane
A0PJK1,Glycoprotein
A0PJK1,Ion transport
A0PJK1,Membrane
A0PJK1,Phosphoprotein
A0PJK1,Proteomics identification
A0PJK1,Reference proteome
A0PJK1,Sodium
A0PJK1,Sodium transport
A0PJK1,Sugar transport
A0PJK1,Transmembrane
A0PJK1,Transmembrane helix
A0PJK1,Transport
A0PJY2,Alternative splicing
A0PJY2,Developmental protein
A0PJY2,Differentiation
A0PJY2,Disease variant
A0PJY2,DNA-binding
A0PJY2,Hypogonadotropic hypogonadism
A0PJY2,Kallmann syndrome
A0PJY2,Metal-binding
A0PJY2,Neurogenesis
A0PJY2,Nucleus
A0PJY2,Reference proteome
A0PJY2,Repeat
A0PJY2,Repressor
A0PJY2,Transcription
A0PJY2,Transcription regulation
A0PJY2,Zinc
A0PJY2,Zinc-finger
A0PK00,3D-structure
A0PK00,Coiled coil
A0PK00,Membrane
A0PK00,Nucleus
A0PK00,Proteomics identification
A0PK00,Reference proteome
A0PK00,Transmembrane
A0PK00,Transmembrane helix
A0PK05,Alternative splicing
A0PK05,Cell membrane
A0PK05,Cytoplasm
A0PK05,Endosome
A0PK05,Membrane
A0PK05,Nucleus
A0PK05,Proteomics identification
A0PK05,Reference proteome
A0PK05,Transmembrane
A0PK05,Transmembrane helix
A0PK11,Cell membrane
A0PK11,Cell projection
A0PK11,Deafness
A0PK11,Disease variant
A0PK11,Glycoprotein
A0PK11,Hearing
A0PK11,Membrane
A0PK11,Non-syndromic deafness
A0PK11,Reference proteome
A0PK11,Transmembrane
A0PK11,Transmembrane helix
A1A4S6,3D-structure
A1A4S6,Cell membrane
A1A4S6,Cytoplasm
A1A4S6,Endosome
A1A4S6,GTPase activation
A1A4S6,Membrane
A1A4S6,Phosphoprotein
A1A4S6,Proteomics identification
A1A4S6,Reference proteome
A1A4S6,SH3 domain
A1A4Y4,Alternative splicing
A1A4Y4,Autophagy
A1A4Y4,Cell membrane
A1A4Y4,Cell projection
A1A4Y4,Cytoplasmic vesicle
A1A4Y4,Endosome
A1A4Y4,Golgi apparatus
A1A4Y4,GTP-binding
A1A4Y4,Hydrolase
A1A4Y4,Immunity
A1A4Y4,Inflammatory response
A1A4Y4,Innate immunity
A1A4Y4,Lysosome
A1A4Y4,Membrane
A1A4Y4,Mitochondrion
A1A4Y4,Nucleotide-binding
A1A4Y4,Reference proteome
A1A4Y4,Ubl conjugation
A1A519,Activator
A1A519,Alternative splicing
A1A519,Differentiation
A1A519,DNA-binding
A1A519,Metal-binding
A1A519,Nucleus
A1A519,Phosphoprotein
A1A519,Proteomics identification
A1A519,Reference proteome
A1A519,Spermatogenesis
A1A519,Transcription
A1A519,Transcription regulation
A1A519,Zinc
A1A519,Zinc-finger
A1A5B4,Alternative splicing
A1A5B4,Cell membrane
A1A5B4,Endoplasmic reticulum
A1A5B4,Glycoprotein
A1A5B4,Lipid metabolism
A1A5B4,Lipid transport
A1A5B4,Membrane
A1A5B4,Phosphoprotein
A1A5B4,Proteomics identification
A1A5B4,Reference proteome
A1A5B4,Transmembrane
A1A5B4,Transmembrane helix
A1A5B4,Transport
A1A5C7,Alternative splicing
A1A5C7,Glycoprotein
A1A5C7,Ion transport
A1A5C7,Membrane
A1A5C7,Proteomics identification
A1A5C7,Reference proteome
A1A5C7,Transmembrane
A1A5C7,Transmembrane helix
A1A5C7,Transport
A1E959,Biomineralization
A1E959,Cytoplasm
A1E959,Glycoprotein
A1E959,Nucleus
A1E959,Proteomics identification
A1E959,Reference proteome
A1E959,Secreted
A1E959,Signal
A1KXE4,Acetylation
A1KXE4,Alternative splicing
A1KXE4,Cell membrane
A1KXE4,Cell projection
A1KXE4,Cytoplasm
A1KXE4,Glycoprotein
A1KXE4,Membrane
A1KXE4,Phosphoprotein
A1KXE4,Proteomics identification
A1KXE4,Reference proteome
A1KXE4,Transmembrane
A1KXE4,Transmembrane helix
A1KZ92,Alternative splicing
A1KZ92,Calcium
A1KZ92,Cell membrane
A1KZ92,Cytoplasm
A1KZ92,Disulfide bond
A1KZ92,Endonuclease
A1KZ92,Endoplasmic reticulum
A1KZ92,Glycoprotein
A1KZ92,Heme
A1KZ92,Hydrolase
A1KZ92,Immunoglobulin domain
A1KZ92,Iron
A1KZ92,Leucine-rich repeat
A1KZ92,Membrane
A1KZ92,Metal-binding
A1KZ92,Nuclease
A1KZ92,Oxidoreductase
A1KZ92,Phosphoprotein
A1KZ92,Proteomics identification
A1KZ92,Reference proteome
A1KZ92,Repeat
A1KZ92,Secreted
A1KZ92,Signal
A1L0T0,Endoplasmic reticulum
A1L0T0,Fatty acid metabolism
A1L0T0,Lipid metabolism
A1L0T0,Lyase
A1L0T0,Magnesium
A1L0T0,Membrane
A1L0T0,Metal-binding
A1L0T0,Proteomics identification
A1L0T0,Reference proteome
A1L0T0,Thiamine pyrophosphate
A1L0T0,Transmembrane
A1L0T0,Transmembrane helix
A1L167,Chromosomal rearrangement
A1L167,Nucleus
A1L167,Reference proteome
A1L167,Transferase
A1L167,Ubl conjugation pathway
A1L190,3D-structure
A1L190,Cell cycle
A1L190,Cell division
A1L190,Chromosome
A1L190,Coiled coil
A1L190,Meiosis
A1L190,Nucleus
A1L190,Proteomics identification
A1L190,Reference proteome
A1L390,Alternative splicing
A1L390,Cytoplasm
A1L390,Cytoskeleton
A1L390,Methylation
A1L390,Phosphoprotein
A1L390,Proteomics identification
A1L390,Reference proteome
A1L3X0,3D-structure
A1L3X0,Acetylation
A1L3X0,Disulfide bond
A1L3X0,Endoplasmic reticulum
A1L3X0,Fatty acid biosynthesis
A1L3X0,Fatty acid metabolism
A1L3X0,Lipid biosynthesis
A1L3X0,Lipid metabolism
A1L3X0,Membrane
A1L3X0,Proteomics identification
A1L3X0,Reference proteome
A1L3X0,Transferase
A1L3X0,Transmembrane
A1L3X0,Transmembrane helix
A1L4H1,Alternative splicing
A1L4H1,Cytoplasm
A1L4H1,Developmental protein
A1L4H1,Disulfide bond
A1L4H1,Glycoprotein
A1L4H1,Immunity
A1L4H1,Innate immunity
A1L4H1,Proteomics identification
A1L4H1,Receptor
A1L4H1,Reference proteome
A1L4H1,Repeat
A1L4H1,Secreted
A1L4H1,Signal
A1L4K1,Alternative splicing
A1L4K1,Coiled coil
A1L4K1,Cytoplasm
A1L4K1,Nucleus
A1L4K1,Proteomics identification
A1L4K1,Reference proteome
A1L4K1,Repeat
A1L4K1,Sarcoplasmic reticulum
A1X283,Cell junction
A1X283,Cell projection
A1X283,Cytoplasm
A1X283,Differentiation
A1X283,Disease variant
A1X283,Phosphoprotein
A1X283,Proteomics identification
A1X283,Reference proteome
A1X283,Repeat
A1X283,SH3 domain
A1XBS5,3D-structure
A1XBS5,Alternative splicing
A1XBS5,Cell projection
A1XBS5,Cilium
A1XBS5,Cilium biogenesis/degradation
A1XBS5,Coiled coil
A1XBS5,Cytoplasm
A1XBS5,Cytoskeleton
A1XBS5,Differentiation
A1XBS5,Disease variant
A1XBS5,Flagellum
A1XBS5,Membrane
A1XBS5,Mitochondrion
A1XBS5,Mitochondrion inner membrane
A1XBS5,Nucleus
A1XBS5,Proteomics identification
A1XBS5,Reference proteome
A1XBS5,Spermatogenesis
A1XBS5,Transit peptide
A1Z1Q3,3D-structure
A1Z1Q3,Alternative splicing
A1Z1Q3,DNA damage
A1Z1Q3,Hydrolase
A1Z1Q3,Isopeptide bond
A1Z1Q3,Nucleus
A1Z1Q3,Proteomics identification
A1Z1Q3,Reference proteome
A1Z1Q3,Ubl conjugation
A2A288,Alternative splicing
A2A288,Chromosomal rearrangement
A2A288,Cytoplasm
A2A288,Endonuclease
A2A288,Hydrolase
A2A288,Magnesium
A2A288,Metal-binding
A2A288,Nuclease
A2A288,Nucleus
A2A288,Proteomics identification
A2A288,Reference proteome
A2A288,Zinc
A2A288,Zinc-finger
A2A2Y4,Alternative splicing
A2A2Y4,Membrane
A2A2Y4,Proteomics identification
A2A2Y4,Reference proteome
A2A2Y4,Transmembrane
A2A2Y4,Transmembrane helix
A2IDD5,Alternative splicing
A2IDD5,Cell membrane
A2IDD5,Cilium biogenesis/degradation
A2IDD5,Coiled coil
A2IDD5,Cytoplasm
A2IDD5,Cytoskeleton
A2IDD5,Membrane
A2IDD5,Proteomics identification
A2IDD5,Reference proteome
A2IDD5,Sarcoplasmic reticulum
A2PYH4,Alternative splicing
A2PYH4,ATP-binding
A2PYH4,Disease variant
A2PYH4,Helicase
A2PYH4,Hydrolase
A2PYH4,Isomerase
A2PYH4,Meiosis
A2PYH4,Metal-binding
A2PYH4,Nucleotide-binding
A2PYH4,Premature ovarian failure
A2PYH4,Proteomics identification
A2PYH4,Reference proteome
A2PYH4,Zinc
A2PYH4,Zinc-finger
A2RRP1,Acetylation
A2RRP1,Alternative splicing
A2RRP1,Cytoplasm
A2RRP1,Disease variant
A2RRP1,Dwarfism
A2RRP1,Endoplasmic reticulum
A2RRP1,Membrane
A2RRP1,Phosphoprotein
A2RRP1,Protein transport
A2RRP1,Proteomics identification
A2RRP1,Reference proteome
A2RRP1,Repeat
A2RRP1,Transport
A2RRP1,WD repeat
A2RTX5,Acetylation
A2RTX5,Alternative splicing
A2RTX5,Aminoacyl-tRNA synthetase
A2RTX5,ATP-binding
A2RTX5,Coiled coil
A2RTX5,Cytoplasm
A2RTX5,Direct protein sequencing
A2RTX5,Ligase
A2RTX5,Nucleotide-binding
A2RTX5,Nucleus
A2RTX5,Phosphoprotein
A2RTX5,Protein biosynthesis
A2RTX5,Proteomics identification
A2RTX5,Reference proteome
A2RU14,Cell projection
A2RU14,Ciliopathy
A2RU14,Disease variant
A2RU14,Joubert syndrome
A2RU14,Membrane
A2RU14,Proteomics identification
A2RU14,Reference proteome
A2RU14,Transmembrane
A2RU14,Transmembrane helix
A2RU30,Alternative splicing
A2RU30,Cytoplasm
A2RU30,Endoplasmic reticulum
A2RU30,Membrane
A2RU30,Phosphoprotein
A2RU30,Proteomics identification
A2RU30,Reference proteome
A2RU30,Signalosome
A2RU49,Alternative splicing
A2RU49,Cytoplasm
A2RU49,Kinase
A2RU49,Proteomics identification
A2RU49,Reference proteome
A2RU49,Transferase
A2RUB1,Alternative splicing
A2RUB1,Cytoplasm
A2RUB1,Meiosis
A2RUB1,Nucleus
A2RUB1,Proteomics identification
A2RUB1,Reference proteome
A2RUB6,Alternative splicing
A2RUB6,Cell cycle
A2RUB6,Cell division
A2RUB6,Cell projection
A2RUB6,Cilium
A2RUB6,Cilium biogenesis/degradation
A2RUB6,Coiled coil
A2RUB6,Cytoplasm
A2RUB6,Cytoskeleton
A2RUB6,Disulfide bond
A2RUB6,Microtubule
A2RUB6,Phosphoprotein
A2RUB6,Proteomics identification
A2RUB6,Reference proteome
A2RUC4,3D-structure
A2RUC4,Alternative splicing
A2RUC4,Dioxygenase
A2RUC4,Iron
A2RUC4,Metal-binding
A2RUC4,Oxidoreductase
A2RUC4,Proteomics identification
A2RUC4,Reference proteome
A2RUC4,tRNA processing
A2RUH7,Alternative splicing
A2RUH7,Cytoplasm
A2RUH7,Disulfide bond
A2RUH7,Immunoglobulin domain
A2RUH7,Methylation
A2RUH7,Phosphoprotein
A2RUH7,Proteomics identification
A2RUH7,Reference proteome
A2RUH7,Repeat
A2VDJ0,Alternative splicing
A2VDJ0,Cell membrane
A2VDJ0,Cytoplasm
A2VDJ0,Endoplasmic reticulum
A2VDJ0,Glycoprotein
A2VDJ0,Membrane
A2VDJ0,Phosphoprotein
A2VDJ0,Proteomics identification
A2VDJ0,Reference proteome
A2VDJ0,Signal
A2VDJ0,Transmembrane
A2VDJ0,Transmembrane helix
A2VDJ0,Wnt signaling pathway
A2VEC9,Alternative splicing
A2VEC9,Calcium
A2VEC9,Cell adhesion
A2VEC9,Disulfide bond
A2VEC9,EGF-like domain
A2VEC9,Glycoprotein
A2VEC9,Reference proteome
A2VEC9,Repeat
A2VEC9,Secreted
A2VEC9,Signal
A3KMH1,Alternative splicing
A3KMH1,ATP-binding
A3KMH1,Disease variant
A3KMH1,Glycoprotein
A3KMH1,Mitochondrion
A3KMH1,Nucleotide-binding
A3KMH1,Peroxisome
A3KMH1,Proteomics identification
A3KMH1,Reference proteome
A3KMH1,Retinitis pigmentosa
A3KMH1,Transit peptide
A3KN83,Acetylation
A3KN83,Alternative splicing
A3KN83,Coiled coil
A3KN83,Inflammatory response
A3KN83,Nucleus
A3KN83,Phosphoprotein
A3KN83,Proteomics identification
A3KN83,Reference proteome
A3KN83,Wnt signaling pathway
A4D0S4,Alternative splicing
A4D0S4,Basement membrane
A4D0S4,Cell adhesion
A4D0S4,Coiled coil
A4D0S4,Disulfide bond
A4D0S4,Extracellular matrix
A4D0S4,Glycoprotein
A4D0S4,Laminin EGF-like domain
A4D0S4,Proteomics identification
A4D0S4,Reference proteome
A4D0S4,Repeat
A4D0S4,Secreted
A4D0S4,Signal
A4D126,3D-structure
A4D126,Alternative splicing
A4D126,Congenital muscular dystrophy
A4D126,Cytoplasm
A4D126,Disease variant
A4D126,Dystroglycanopathy
A4D126,Limb-girdle muscular dystrophy
A4D126,Lissencephaly
A4D126,Nucleotidyltransferase
A4D126,Proteomics identification
A4D126,Reference proteome
A4D126,Transferase
A4D161,Alternative splicing
A4D161,Proteomics identification
A4D161,Reference proteome
A4D1B5,Alternative splicing
A4D1B5,Golgi apparatus
A4D1B5,Proteomics identification
A4D1B5,Reference proteome
A4D1E9,3D-structure
A4D1E9,Alternative splicing
A4D1E9,Chromosome
A4D1E9,GTP-binding
A4D1E9,Nucleotide-binding
A4D1E9,Nucleus
A4D1E9,Proteomics identification
A4D1E9,Reference proteome
A4D1E9,Ribosome biogenesis
A4D1P6,3D-structure
A4D1P6,Alternative splicing
A4D1P6,Coiled coil
A4D1P6,Endosome
A4D1P6,Membrane
A4D1P6,Phosphoprotein
A4D1P6,Proteomics identification
A4D1P6,Reference proteome
A4D1P6,Repeat
A4D1P6,WD repeat
A4D1S5,Alternative splicing
A4D1S5,Cell membrane
A4D1S5,GTP-binding
A4D1S5,Hydrolase
A4D1S5,Lipoprotein
A4D1S5,Magnesium
A4D1S5,Membrane
A4D1S5,Metal-binding
A4D1S5,Methylation
A4D1S5,Nucleotide-binding
A4D1S5,Prenylation
A4D1S5,Proteomics identification
A4D1S5,Reference proteome
A4D1T9,Cytoplasmic vesicle
A4D1T9,Disulfide bond
A4D1T9,Fertilization
A4D1T9,Proteomics identification
A4D1T9,Reference proteome
A4D1T9,Secreted
A4D1T9,Signal
A4D256,Endoplasmic reticulum
A4D256,Hydrolase
A4D256,Membrane
A4D256,Protein phosphatase
A4D256,Proteomics identification
A4D256,Reference proteome
A4D256,Transmembrane
A4D256,Transmembrane helix
A4D2B0,3D-structure
A4D2B0,Cytoplasm
A4D2B0,Hydrolase
A4D2B0,Metal-binding
A4D2B0,Nucleus
A4D2B0,Proteomics identification
A4D2B0,Reference proteome
A4D2B0,Zinc
A4D2B8,Alternative splicing
A4D2B8,Kinase
A4D2B8,Proteomics identification
A4D2B8,Reference proteome
A4D2B8,Transferase
A4D2P6,Cell membrane
A4D2P6,Membrane
A4D2P6,Phosphoprotein
A4D2P6,Postsynaptic cell membrane
A4D2P6,Proteomics identification
A4D2P6,Reference proteome
A4D2P6,Repeat
A4D2P6,Synapse
A4GXA9,3D-structure
A4GXA9,Alternative splicing
A4GXA9,DNA damage
A4GXA9,DNA recombination
A4GXA9,DNA repair
A4GXA9,Nucleus
A4GXA9,Proteomics identification
A4GXA9,Reference proteome
A4UGR9,3D-structure
A4UGR9,Actin-binding
A4UGR9,Alternative splicing
A4UGR9,Cell junction
A4UGR9,Coiled coil
A4UGR9,Phosphoprotein
A4UGR9,Proteomics identification
A4UGR9,Reference proteome
A4UGR9,Repeat
A5A3E0,ANK repeat
A5A3E0,Coiled coil
A5A3E0,Cytoplasm
A5A3E0,Proteomics identification
A5A3E0,Reference proteome
A5A3E0,Repeat
A5D8T8,Alternative splicing
A5D8T8,Disulfide bond
A5D8T8,EGF-like domain
A5D8T8,Endoplasmic reticulum
A5D8T8,Endosome
A5D8T8,Glycoprotein
A5D8T8,Golgi apparatus
A5D8T8,Lectin
A5D8T8,Reference proteome
A5D8T8,Secreted
A5D8T8,Signal
A5D8V6,Endosome
A5D8V6,Membrane
A5D8V6,Phosphoprotein
A5D8V6,Protein transport
A5D8V6,Proteomics identification
A5D8V6,Reference proteome
A5D8V6,Transport
A5D8V7,3D-structure
A5D8V7,Alternative splicing
A5D8V7,Cell projection
A5D8V7,Ciliopathy
A5D8V7,Cilium biogenesis/degradation
A5D8V7,Coiled coil
A5D8V7,Cytoplasm
A5D8V7,Cytoskeleton
A5D8V7,Kartagener syndrome
A5D8V7,Primary ciliary dyskinesia
A5D8V7,Proteomics identification
A5D8V7,Reference proteome
A5D8W1,Alternative splicing
A5D8W1,Cell projection
A5D8W1,Cilium
A5D8W1,Differentiation
A5D8W1,Flagellum
A5D8W1,Olfaction
A5D8W1,Proteomics identification
A5D8W1,Reference proteome
A5D8W1,Sensory transduction
A5D8W1,Spermatogenesis
A5LHX3,Cytoplasm
A5LHX3,Hydrolase
A5LHX3,Nucleus
A5LHX3,Protease
A5LHX3,Proteasome
A5LHX3,Proteomics identification
A5LHX3,Reference proteome
A5LHX3,Threonine protease
A5LHX3,Zymogen
A5PKW4,Alternative splicing
A5PKW4,Cell membrane
A5PKW4,Cell projection
A5PKW4,Coiled coil
A5PKW4,Guanine-nucleotide releasing factor
A5PKW4,Membrane
A5PKW4,Phosphoprotein
A5PKW4,Proteomics identification
A5PKW4,Reference proteome
A5PLL7,Alternative splicing
A5PLL7,Endoplasmic reticulum
A5PLL7,Fatty acid metabolism
A5PLL7,Lipid metabolism
A5PLL7,Membrane
A5PLL7,Oxidoreductase
A5PLL7,Proteomics identification
A5PLL7,Reference proteome
A5PLL7,Transmembrane
A5PLL7,Transmembrane helix
A5PLN9,Alternative splicing
A5PLN9,Proteomics identification
A5PLN9,Reference proteome
A5X5Y0,Alternative splicing
A5X5Y0,Cell membrane
A5X5Y0,Disulfide bond
A5X5Y0,Glycoprotein
A5X5Y0,Ion channel
A5X5Y0,Ion transport
A5X5Y0,Ligand-gated ion channel
A5X5Y0,Membrane
A5X5Y0,Postsynaptic cell membrane
A5X5Y0,Proteomics identification
A5X5Y0,Receptor
A5X5Y0,Reference proteome
A5X5Y0,Signal
A5X5Y0,Synapse
A5X5Y0,Transmembrane
A5X5Y0,Transmembrane helix
A5X5Y0,Transport
A5YKK6,3D-structure
A5YKK6,Alternative splicing
A5YKK6,Autism spectrum disorder
A5YKK6,Cytoplasm
A5YKK6,Developmental protein
A5YKK6,Disease variant
A5YKK6,Holoprosencephaly
A5YKK6,Intellectual disability
A5YKK6,Nucleus
A5YKK6,Phosphoprotein
A5YKK6,Proteomics identification
A5YKK6,Reference proteome
A5YKK6,Repressor
A5YKK6,RNA-mediated gene silencing
A5YKK6,Transcription
A5YKK6,Transcription regulation
A5YKK6,Translation regulation
A5YM72,Alternative splicing
A5YM72,ATP-binding
A5YM72,Ligase
A5YM72,Magnesium
A5YM72,Manganese
A5YM72,Metal-binding
A5YM72,Nucleotide-binding
A5YM72,Proteomics identification
A5YM72,Reference proteome
A6BM72,Alternative splicing
A6BM72,Cell membrane
A6BM72,Disulfide bond
A6BM72,EGF-like domain
A6BM72,Glycoprotein
A6BM72,Membrane
A6BM72,Proteomics identification
A6BM72,Reference proteome
A6BM72,Repeat
A6BM72,Signal
A6BM72,Transmembrane
A6BM72,Transmembrane helix
A6H8Y1,3D-structure
A6H8Y1,Activator
A6H8Y1,Alternative splicing
A6H8Y1,Coiled coil
A6H8Y1,Deafness
A6H8Y1,Non-syndromic deafness
A6H8Y1,Nucleus
A6H8Y1,Phosphoprotein
A6H8Y1,Proteomics identification
A6H8Y1,Reference proteome
A6H8Y1,Repeat
A6H8Y1,Transcription
A6H8Y1,Transcription regulation
A6H8Z2,Alternative splicing
A6H8Z2,Proteomics identification
A6H8Z2,Reference proteome
A6NC98,Alternative splicing
A6NC98,Coiled coil
A6NC98,Cytoplasm
A6NC98,Cytoskeleton
A6NC98,Endoplasmic reticulum
A6NC98,Golgi apparatus
A6NC98,Membrane
A6NC98,Phosphoprotein
A6NC98,Proteomics identification
A6NC98,Reference proteome
A6NC98,Stress response
A6NCS4,Activator
A6NCS4,Developmental protein
A6NCS4,Disease variant
A6NCS4,DNA-binding
A6NCS4,Homeobox
A6NCS4,Nucleus
A6NCS4,Proteomics identification
A6NCS4,Reference proteome
A6NCS4,Transcription
A6NCS4,Transcription regulation
A6ND01,3D-structure
A6ND01,Alternative splicing
A6ND01,Cell membrane
A6ND01,Cell projection
A6ND01,Disulfide bond
A6ND01,Fertilization
A6ND01,Glycoprotein
A6ND01,GPI-anchor
A6ND01,Lipoprotein
A6ND01,Membrane
A6ND01,Proteomics identification
A6ND01,Receptor
A6ND01,Reference proteome
A6ND01,Signal
A6ND36,Acetylation
A6ND36,Alternative splicing
A6ND36,Cytoplasm
