accession,has_pdb
O15455,True
O15457,False
O15460,True
O15466,False
O15467,True
O15479,False
O15481,False
O15484,True
O15488,True
O15492,True
O15496,True
O15498,True
O15499,False
O15503,True
O15504,True
O15511,True
O15514,True
O15516,True
O15519,True
O15520,True
O15522,False
O15523,False
O15524,False
O15525,True
O15527,True
O15528,False
O15529,False
O15530,True
O15533,True
O15534,False
O15535,False
O15537,True
O15540,True
O15541,True
O15547,False
O15550,True
O15551,False
O15552,True
O15553,True
O15554,True
O42043,False
O43143,True
O43147,False
O43148,True
O43149,False
O43150,False
O43151,True
O43155,False
O43156,True
O43157,True
O43159,True
O43164,False
O43166,False
O43167,False
O43169,True
O43172,True
O43173,True
O43174,False
O43175,True
O43181,True
O43182,False
O43184,False
O43186,True
O43187,True
O43189,True
O43193,True
O43194,False
O43196,False
O43236,True
O43237,True
O43240,True
O43242,True
O43248,False
O43251,True
O43252,True
O43255,True
O43257,True
O43264,True
O43272,False
O43278,True
O43280,False
O43281,False
O43283,False
O43286,False
O43290,True
O43291,True
O43292,True
O43293,True
O43294,False
O43295,False
O43296,False
O43298,True
O43299,False
O43300,True
O43303,False
O43306,False
O43307,True
O43309,False
O43310,False
O43312,True
O43313,False
O43314,True
O43315,False
O43316,False
O43318,True
O43320,False
O43323,True
O43324,True
O43353,True
O43364,False
O43365,False
O43374,False
O43379,False
O43390,True
O43395,True
O43396,True
O43399,False
O43402,True
O43405,True
O43422,False
O43424,True
O43426,True
O43427,False
O43432,True
O43435,True
O43439,False
O43447,True
O43448,False
O43451,True
O43462,False
O43463,True
O43464,True
O43474,True
O43482,True
O43488,True
O43490,False
O43491,False
O43493,True
O43497,True
O43502,True
O43504,True
O43505,False
O43506,False
O43508,True
O43511,False
O43513,True
O43516,True
O43520,True
O43521,True
O43524,True
O43525,True
O43526,True
O43529,False
O43541,False
O43542,True
O43543,True
O43548,False
O43556,False
O43557,True
O43559,True
O43561,False
O43566,True
O43567,True
O43570,True
O43572,True
O43581,True
O43583,True
O43586,True
O43592,False
O43593,False
O43597,True
O43598,True
O43602,True
O43603,True
O43609,False
O43610,False
O43612,True
O43613,True
O43614,True
O43615,True
O43617,True
O43623,False
O43633,True
O43639,True
O43653,True
O43660,True
O43663,True
O43665,True
O43670,False
O43674,True
O43676,True
O43678,True
O43679,False
O43680,False
O43681,True
O43683,True
O43684,False
O43687,False
O43688,False
O43699,False
O43704,True
O43707,True
O43708,True
O43709,True
O43711,False
O43715,True
O43716,False
O43719,True
O43731,False
O43734,True
O43739,True
O43741,True
O43745,True
O43747,True
O43749,False
O43752,True
O43759,True
O43760,False
O43761,False
O43765,True
O43766,True
O43768,False
O43772,False
O43776,True
O43781,True
O43790,False
O43791,True
O43795,False
O43805,False
O43808,False
O43809,True
O43813,True
O43815,False
O43818,True
O43819,True
O43820,False
O43822,True
O43823,False
O43825,False
O43826,True
O43827,False
O43829,False
O43837,True
O43847,False
O43852,False
O43854,True
O43861,False
O43865,True
O43866,True
O43868,False
O43889,False
O43895,False
O43896,True
O43897,True
O43900,False
O43903,False
O43909,True
O43913,True
O43914,True
O43915,True
O43916,False
O43918,True
O43920,True
O43921,True
O43924,True
O43927,True
O43929,True
O43933,False
O60216,True
O60218,True
O60220,False
O60229,True
O60231,True
O60232,True
O60235,True
O60237,False
O60238,False
O60239,True
O60240,False
O60241,True
O60242,True
O60243,False
O60244,True
O60245,True
O60248,False
O60256,True
O60258,False
O60259,True
O60260,True
O60264,True
O60266,False
O60269,False
O60271,True
O60281,True
O60282,False
O60284,True
O60285,False
O60291,False
O60292,False
O60293,False
O60294,False
O60296,False
O60303,False
O60304,False
O60306,True
O60307,True
O60308,True
O60312,False
O60313,True
O60315,True
O60318,True
O60331,True
O60333,True
O60336,False
O60337,False
O60341,True
O60343,True
O60346,False
O60353,True
O60356,False
O60359,False
O60381,True
O60383,False
O60391,False
O60393,False
O60423,False
O60427,False
O60437,True
O60443,True
O60447,False
O60449,True
O60462,True
O60469,True
O60476,False
O60477,False
O60478,False
O60479,True
O60481,True
O60486,True
O60487,False
O60488,False
O60493,True
O60494,True
O60496,True
O60499,True
O60500,True
O60502,True
O60503,True
O60504,True
O60506,True
O60507,True
O60508,True
O60512,False
O60513,False
O60516,False
O60519,False
O60524,True
O60543,True
O60547,True
O60548,False
O60551,True
O60563,True
O60565,True
O60566,True
O60568,True
O60573,True
O60583,True
O60602,True
O60603,True
O60609,True
O60610,True
O60613,False
O60635,False
O60636,False
O60641,False
O60645,False
O60656,False
O60658,True
O60662,False
O60663,False
O60664,False
O60667,True
O60669,True
O60671,True
O60673,True
O60674,True
O60675,False
O60678,True
O60682,False
O60683,False
O60684,True
O60687,False
O60701,True
O60704,True
O60706,False
O60711,True
O60716,True
O60721,False
O60725,False
O60729,True
O60733,False
O60741,True
O60749,False
O60755,False
O60759,True
O60760,True
O60762,False
O60763,True
O60779,True
O60783,True
O60784,True
O60806,False
O60812,False
O60814,True
O60825,True
O60826,True
O60828,True
O60829,True
O60830,False
O60831,False
O60832,True
O60840,False
O60841,True
O60844,True
O60858,False
O60861,True
O60869,True
O60870,True
O60879,False
O60880,True
O60882,True
O60883,False
O60884,True
O60885,True
O60888,True
O60890,False
O60894,True
O60895,True
O60896,True
O60902,False
O60906,True
O60907,True
O60909,False
O60911,True
O60921,True
O60925,True
O60927,True
O60928,False
O60930,True
O60931,True
O60934,True
O60936,True
O60938,False
O60939,True
O60941,False
O60942,True
O75015,True
O75019,False
O75022,True
O75023,False
O75027,True
O75030,True
O75031,True
O75037,False
O75038,False
O75044,True
O75051,True
O75052,False
O75054,False
O75056,False
O75061,False
O75063,False
O75069,False
O75072,False
O75074,False
O75077,False
O75078,False
O75081,True
O75083,True
O75084,True
O75093,False
O75094,False
O75095,False
O75096,True
O75106,False
O75110,True
O75112,True
O75113,True
O75116,True
O75121,False
O75122,True
O75127,False
O75128,True
O75129,True
O75131,False
O75132,False
O75140,True
O75143,True
O75144,True
O75145,False
O75146,True
O75147,True
O75150,True
O75151,True
O75152,False
O75154,True
O75155,True
O75159,False
O75161,False
O75164,True
O75165,False
O75167,False
O75170,False
O75173,True
O75175,True
O75177,False
O75179,False
O75182,True
O75185,False
O75190,True
O75191,True
O75192,False
O75197,False
O75204,False
O75208,True
O75223,True
O75251,True
O75293,False
O75298,False
O75306,True
O75309,False
O75311,True
O75312,False
O75317,True
O75319,True
O75323,False
O75324,True
O75326,True
O75330,False
O75334,True
O75339,False
O75340,True
O75342,False
O75343,False
O75344,True
O75347,True
O75348,True
O75351,True
O75352,False
O75354,False
O75355,False
O75356,False
O75360,False
O75362,True
O75364,False
O75365,True
O75366,True
O75367,True
O75368,True
O75369,True
O75376,True
O75379,False
O75380,True
O75381,True
O75382,True
O75385,True
O75386,True
O75387,False
O75390,True
O75396,True
O75398,True
O75400,True
O75409,False
O75410,False
O75414,False
O75417,True
O75419,True
O75420,True
O75425,False
O75426,False
O75427,False
O75431,False
O75436,True
O75438,True
O75439,False
O75443,False
O75444,False
O75445,False
O75446,True
O75448,True
O75449,True
O75452,False
O75460,True
O75461,False
O75462,True
O75469,True
O75473,True
O75475,True
O75477,True
O75478,True
O75486,True
O75487,False
O75489,True
O75494,False
O75496,True
O75503,True
O75506,True
O75508,False
O75509,True
O75521,True
O75525,True
O75528,False
O75529,True
O75530,True
O75531,True
O75533,True
O75534,True
O75553,False
O75554,True
O75556,False
O75558,False
O75563,True
O75564,False
O75569,True
O75570,True
O75575,True
O75578,False
O75581,True
O75582,True
O75586,True
O75592,True
O75593,True
O75594,True
O75600,False
O75602,False
O75603,False
O75604,True
O75607,False
O75608,True
O75610,False
O75616,True
O75618,False
O75626,True
O75628,True
O75629,True
O75631,False
O75636,True
O75638,False
O75643,True
O75648,False
O75663,True
O75665,False
O75674,True
O75676,False
O75677,False
O75679,False
O75688,True
O75689,True
O75691,True
O75694,True
O75695,True
O75712,False
O75716,True
O75717,True
O75718,True
O75746,True
O75747,True
O75751,True
O75752,False
O75762,True
O75771,True
O75781,False
O75783,False
O75787,True
O75791,True
O75792,True
O75794,True
O75795,True
O75800,True
O75807,True
O75808,False
O75815,True
O75817,True
O75818,True
O75821,True
O75822,True
O75828,True
O75829,False
O75832,True
O75838,True
O75840,False
O75841,False
O75843,True
O75844,True
O75845,False
O75864,False
O75865,True
O75871,False
O75874,True
O75879,False
O75880,True
O75881,False
O75882,False
O75884,True
O75886,True
O75888,True
O75891,True
O75896,False
O75897,True
O75899,True
O75900,False
O75907,True
O75908,True
O75909,True
O75911,False
O75912,False
O75914,True
O75915,False
O75916,False
O75920,True
O75923,True
O75925,True
O75928,True
O75934,True
O75935,True
O75936,True
O75937,True
O75940,True
O75943,True
O75947,True
O75951,False
O75952,False
O75955,True
O75956,True
O75962,True
O75964,True
O75969,False
O75970,True
O75971,True
O75976,True
O76003,True
O76011,False
O76013,False
O76014,False
O76015,False
O76021,True
O76024,False
O76027,False
O76031,True
O76036,True
O76039,True
O76041,True
O76050,False
O76054,True
O76061,True
O76062,False
O76064,True
O76070,False
O76071,True
O76074,True
O76075,True
O76076,False
O76081,False
O76082,True
O76083,True
O76090,True
O76093,True
O76094,True
O76095,True
O76096,True
O77932,False
O94759,True
O94760,True
O94761,True
O94762,True
O94763,False
O94766,True
O94768,True
O94769,False
O94776,False
O94777,False
O94778,False
O94779,True
O94782,True
O94788,True
O94804,True
O94805,False
O94806,True
O94808,False
O94810,False
O94811,True
O94812,False
O94813,True
O94817,True
O94818,False
O94822,True
O94823,False
O94826,True
O94827,False
O94829,True
O94830,False
O94832,False
O94842,True
O94844,False
O94850,False
O94851,True
O94855,True
O94856,True
O94864,True
O94868,True
O94874,True
O94875,True
O94876,False
O94880,False
O94885,True
O94886,True
O94887,False
O94888,True
O94889,False
O94892,False
O94898,False
O94900,False
O94901,True
O94905,True
O94906,True
O94907,True
O94910,False
O94911,False
O94913,True
O94915,False
O94916,True
O94919,False
O94921,False
O94923,True
O94925,True
O94927,True
O94929,True
O94933,False
O94941,False
O94953,True
O94955,False
O94956,False
O94964,False
O94966,True
O94972,True
O94973,False
O94979,True
O94983,False
O94985,False
O94986,True
O94989,False
O94991,False
O94992,True
O94993,True
O95045,True
O95047,False
O95049,True
O95050,True
O95057,True
O95059,True
O95067,False
O95069,True
O95070,False
O95071,True
O95072,False
O95073,False
O95104,True
O95125,False
O95136,True
O95139,True
O95140,True
O95147,True
O95149,True
O95150,True
O95153,False
O95154,True
O95155,True
O95159,False
O95163,True
O95166,True
O95167,True
O95169,True
O95171,False
O95180,True
O95182,True
O95183,False
O95185,False
O95190,False
O95196,False
O95197,True
O95198,True
O95201,False
O95202,True
O95206,True
O95208,False
O95210,True
O95214,False
O95218,True
O95219,False
O95229,True
O95231,False
O95232,False
O95235,True
O95236,False
O95237,False
O95238,True
O95239,True
O95243,True
O95248,False
O95249,False
O95251,True
O95255,True
O95256,True
O95257,True
O95258,False
O95259,True
O95260,True
O95263,False
O95264,False
O95267,True
O95271,True
O95273,True
O95274,True
O95278,True
O95279,False
O95292,True
O95294,False
O95295,False
O95297,True
O95298,True
O95299,True
O95302,False
O95319,True
O95340,True
O95342,True
O95343,False
O95347,True
O95352,False
O95359,False
O95361,True
O95363,True
O95365,True
O95372,True
O95373,False
O95376,True
O95377,False
O95379,False
O95382,False
O95388,False
O95389,False
O95390,True
O95391,True
O95393,True
O95394,False
O95395,False
O95396,True
O95398,True
O95399,True
O95400,True
O95402,True
O95405,True
O95406,False
O95407,True
O95409,False
O95415,False
O95416,False
O95425,True
O95427,False
O95428,False
O95429,True
O95433,True
O95436,False
O95445,True
O95447,False
O95450,False
O95452,False
O95453,True
O95455,False
O95456,True
O95460,False
O95461,True
O95466,True
O95467,False
O95470,True
O95471,False
O95475,False
O95476,True
O95477,True
O95479,True
O95484,True
O95486,True
O95487,True
O95490,True
O95497,True
O95498,False
O95500,False
O95503,True
O95528,False
O95544,True
O95551,True
O95562,False
O95563,True
O95568,True
O95571,True
O95573,False
O95600,False
O95602,True
O95613,False
O95619,True
O95622,True
O95628,True
O95630,True
O95631,True
O95633,True
O95639,True
O95644,True
O95670,False
O95671,True
O95672,False
O95674,False
O95677,False
O95678,False
O95684,True
O95696,True
O95704,True
O95707,True
O95711,True
O95714,True
O95715,True
O95716,True
O95718,True
O95721,True
O95727,True
O95741,False
O95747,True
O95749,True
O95750,True
O95751,False
O95754,False
O95755,False
O95758,False
O95760,True
O95772,False
O95777,True
O95782,False
O95785,True
O95786,True
O95789,False
O95793,True
O95801,True
O95803,False
O95807,False
O95810,False
O95813,False
O95816,False
O95817,False
O95819,True
O95822,True
O95825,True
O95831,True
O95832,False
O95833,True
O95834,True
O95835,True
O95837,False
O95843,True
O95847,False
O95848,True
O95858,True
O95859,False
O95861,True
O95863,True
O95864,False
O95865,False
O95866,True
O95867,False
O95868,True
O95870,False
O95872,False
O95876,True
O95881,True
O95886,False
O95897,False
O95900,False
O95905,False
O95907,False
O95922,False
O95925,False
O95926,True
O95931,True
O95932,False
O95935,False
O95936,False
O95944,True
O95947,False
O95948,True
O95954,False
O95965,False
O95967,True
O95968,False
O95970,True
O95971,True
O95972,False
O95977,True
O95980,True
O95983,True
O95985,True
O95988,False
O95989,True
O95990,False
O95992,False
O95994,True
O95995,True
O95996,False
O95997,True
O95998,True
O95999,True
O96000,True
O96004,False
O96005,False
O96006,True
O96007,True
O96008,True
O96009,False
O96011,False
O96013,True
O96014,False
O96015,False
O96017,True
O96018,True
O96019,True
O96020,True
O96024,False
O96028,True
O96033,True
O97980,False
P00156,True
P00167,True
P00325,True
P00326,True
P00338,True
P00352,True
P00367,True
P00374,True
P00387,True
P00390,True
P00395,True
P00403,True
P00414,True
P00439,True
P00441,True
P00450,True
P00451,True
P00480,True
P00488,True
P00491,True
P00492,True
P00505,True
P00519,True
P00533,True
P00540,False
P00558,True
P00568,True
P00709,True
P00734,True
P00736,True
P00738,True
P00739,False
P00740,True
P00742,True
P00746,True
P00747,True
P00748,True
P00749,True
P00750,True
P00751,True
P00797,True
P00813,True
P00846,True
P00915,True
P00918,True
P00966,True
P00973,True
P00995,True
P01008,True
P01009,True
P01011,True
P01019,True
P01023,True
P01024,True
P01031,True
P01033,True
P01034,True
P01036,False
P01037,False
P01040,True
P01042,True
P01100,True
P01106,True
P01111,True
P01112,True
P01116,True
P01127,True
P01130,True
P01133,True
P01135,True
P01137,True
P01138,True
P01148,True
P01160,True
P01178,True
P01185,True
P01189,True
P01210,True
P01213,True
P01215,True
P01222,True
P01225,True
P01229,False
P01236,True
P01241,True
P01242,False
P01258,True
P01266,True
P01270,True
P01275,True
P01282,True
P01286,True
P01298,True
P01303,True
P01308,True
P01344,True
P01350,True
P01374,True
P01375,True
P01563,True
P01567,False
P01568,False
P01570,False
P01571,False
P01574,True
P01579,True
P01583,True
P01584,True
P01588,True
P01589,True
P01591,True
P01593,True
P01594,True
P01597,True
P01602,False
P01615,False
P01619,True
P01699,False
P01700,True
P01701,False
P01704,True
P01705,False
P01706,False
P01709,True
P01721,True
P01730,True
P01732,True
P01742,False
P01764,True
P01768,False
P01772,True
P01780,True
P01814,False
P01817,False
P01825,True
P01833,True
P01834,True
P01848,True
P01850,True
P01854,True
P01857,True
P01859,True
P01860,True
P01861,True
P01871,True
P01876,True
P01877,True
P01880,True
P01889,True
P01893,False
P01903,True
P01906,False
P01909,True
P01911,True
P01920,True
P02008,True
P02042,True
P02100,True
P02144,True
P02452,True
P02458,True
P02461,True
P02462,True
P02489,True
P02511,True
P02533,True
P02538,True
P02545,True
P02549,True
P02585,True
P02647,True
P02649,True
P02652,False
P02654,True
P02655,True
P02656,True
P02671,True
P02675,True
P02679,True
P02686,True
P02689,True
P02708,True
P02724,True
P02730,True
P02741,True
P02743,True
P02745,True
P02746,True
P02747,True
P02748,True
P02749,True
P02750,True
P02751,True
P02753,True
P02760,True
P02763,True
P02765,False
P02766,True
P02768,True
P02771,True
P02774,True
P02775,True
P02776,True
P02778,True
P02786,True
P02787,True
P02788,True
P02790,False
P02792,True
P02794,True
P02795,True
P02808,False
P02810,False
P02812,False
P02814,False
P02818,True
P03372,True
P03886,True
P03891,True
P03897,True
P03901,True
P03905,True
P03915,True
P03923,True
P03928,True
P03950,True
P03951,True
P03952,True
P03956,True
P03971,True
P03973,True
P03999,True
P04000,True
P04001,True
P04003,True
P04004,True
P04035,True
P04040,True
P04049,True
P04053,True
P04054,True
P04062,True
P04066,True
P04070,True
P04075,True
P04080,True
P04083,True
P04085,True
P04090,True
P04114,True
P04118,False
P04141,True
P04150,True
P04155,True
P04156,True
P04179,True
P04180,True
P04181,True
P04183,True
P04196,False
P04198,True
P04201,True
P04216,False
P04217,False
P04233,True
P04234,True
P04259,False
P04264,True
P04271,True
P04275,True
P04278,True
P04279,True
P04280,False
P04350,False
P04406,True
P04424,True
P04439,True
P04440,True
P04553,False
P04554,False
P04626,True
P04628,False
P04629,True
P04632,True
P04637,True
P04731,False
P04732,False
P04733,False
P04746,True
P04792,True
P04798,True
P04818,True
P04839,True
P04843,True
P04844,True
P04899,True
P04908,True
P04920,True
P04921,True
P05000,True
P05014,False
P05019,True
P05023,True
P05026,True
P05060,False
P05062,True
P05067,True
P05089,True
P05090,True
P05091,True
P05093,True
P05106,True
P05107,True
P05108,True
P05109,True
P05111,False
P05112,True
P05113,True
P05114,False
P05120,True
P05121,True
P05129,True
P05141,False
P05154,True
P05155,True
P05156,True
P05160,True
P05161,True
P05162,True
P05164,True
P05165,True
P05166,True
P05177,True
P05181,True
P05186,True
P05187,True
P05198,True
P05204,False
P05230,True
P05231,True
P05305,True
P05362,True
P05386,True
P05387,True
P05388,True
P05408,False
P05412,True
P05413,True
P05423,True
P05451,True
P05452,True
P05455,True
P05496,True
P05538,False
P05543,True
P05546,True
P05549,True
P05556,True
P05771,True
P05783,False
P05787,True
P05813,False
P05814,False
P05937,True
P05976,False
P05981,True
P05997,False
P06028,True
P06126,True
P06127,True
P06132,True
P06133,False
P06213,True
P06239,True
P06241,True
P06276,True
P06280,True
P06307,True
P06312,True
P06340,True
P06396,True
P06400,True
P06401,True
P06454,True
P06493,True
P06576,True
P06681,True
P06702,True
P06703,True
P06727,True
P06729,True
P06730,True
P06731,True
P06732,True
P06733,True
P06734,True
P06737,True
P06744,True
P06746,True
P06748,True
P06753,True
P06756,True
P06850,True
P06858,True
P06865,True
P06870,True
P06881,True
P06899,True
P07093,True
P07098,True
P07099,False
P07101,True
P07108,True
P07148,True
P07195,True
P07196,False
P07197,False
P07199,True
P07202,False
P07203,True
P07204,True
