geoid,state_abbr,county_name
08037,CO,Eagle County
08039,CO,Elbert County
08041,CO,El Paso County
08043,CO,Fremont County
08045,CO,Garfield County
08047,CO,Gilpin County
08049,CO,Grand County
08051,CO,Gunnison County
08053,CO,Hinsdale County
08055,CO,Huerfano County
08057,CO,Jackson County
08059,CO,Jefferson County
08061,CO,Kiowa County
08063,CO,Kit Carson County
08065,CO,Lake County
08067,CO,La Plata County
08069,CO,Larimer County
08071,CO,Las Animas County
08073,CO,Lincoln County
08075,CO,Logan County
08077,CO,Mesa County
08079,CO,Mineral County
08081,CO,Moffat County
08083,CO,Montezuma County
08085,CO,Montrose County
08087,CO,Morgan County
08089,CO,Otero County
08091,CO,Ouray County
08093,CO,Park County
08095,CO,Phillips County
08097,CO,Pitkin County
08099,CO,Prowers County
08101,CO,Pueblo County
08103,CO,Rio Blanco County
08105,CO,Rio Grande County
08107,CO,Routt County
08109,CO,Saguache County
08111,CO,San Juan County
08113,CO,San Miguel County
08115,CO,Sedgwick County
08117,CO,Summit County
08119,CO,Teller County
08121,CO,Washington County
08123,CO,Weld County
08125,CO,Yuma County
09001,CT,Fairfield County
09003,CT,Hartford County
09005,CT,Litchfield County
09007,CT,Middlesex County
09009,CT,New Haven County
09011,CT,New London County
09013,CT,Tolland County
09015,CT,Windham County
11001,DC,District of Columbia County
10001,DE,Kent County
10003,DE,New Castle County
10005,DE,Sussex County
12001,FL,Alachua County
12003,FL,Baker County
12005,FL,Bay County
12007,FL,Bradford County
12009,FL,Brevard County
12011,FL,Broward County
12013,FL,Calhoun County
12015,FL,Charlotte County
12017,FL,Citrus County
12019,FL,Clay County
12021,FL,Collier County
12023,FL,Columbia County
12027,FL,DeSoto County
12029,FL,Dixie County
12031,FL,Duval County
12033,FL,Escambia County
12035,FL,Flagler County
12037,FL,Franklin County
12039,FL,Gadsden County
12041,FL,Gilchrist County
12043,FL,Glades County
12045,FL,Gulf County
12047,FL,Hamilton County
12049,FL,Hardee County
12051,FL,Hendry County
12053,FL,Hernando County
12055,FL,Highlands County
12057,FL,Hillsborough County
12059,FL,Holmes County
12061,FL,Indian River County
12063,FL,Jackson County
12065,FL,Jefferson County
12067,FL,Lafayette County
12069,FL,Lake County
12071,FL,Lee County
12073,FL,Leon County
12075,FL,Levy County
12077,FL,Liberty County
12079,FL,Madison County
12081,FL,Manatee County
12083,FL,Marion County
12085,FL,Martin County
12086,FL,Miami-Dade County
12087,FL,Monroe County
12089,FL,Nassau County
12091,FL,Okaloosa County
12093,FL,Okeechobee County
12095,FL,Orange County
12097,FL,Osceola County
12099,FL,Palm Beach County
12101,FL,Pasco County
12103,FL,Pinellas County
12105,FL,Polk County
12107,FL,Putnam County
12109,FL,St. Johns County
12111,FL,St. Lucie County
12113,FL,Santa Rosa County
12115,FL,Sarasota County
12117,FL,Seminole County
12119,FL,Sumter County
12121,FL,Suwannee County
12123,FL,Taylor County
12125,FL,Union County
12127,FL,Volusia County
12129,FL,Wakulla County
12131,FL,Walton County
12133,FL,Washington County
13001,GA,Appling County
13003,GA,Atkinson County
13005,GA,Bacon County
13007,GA,Baker County
13009,GA,Baldwin County
13011,GA,Banks County
13013,GA,Barrow County
13015,GA,Bartow County
13017,GA,Ben Hill County
13019,GA,Berrien County
13021,GA,Bibb County
13023,GA,Bleckley County
13025,GA,Brantley County
13027,GA,Brooks County
13029,GA,Bryan County
13031,GA,Bulloch County
13033,GA,Burke County
13035,GA,Butts County
13037,GA,Calhoun County
13039,GA,Camden County
13043,GA,Candler County
13045,GA,Carroll County
13047,GA,Catoosa County
13049,GA,Charlton County
13051,GA,Chatham County
13053,GA,Chattahoochee County
13055,GA,Chattooga County
13057,GA,Cherokee County
13059,GA,Clarke County
13061,GA,Clay County
13063,GA,Clayton County
13065,GA,Clinch County
13067,GA,Cobb County
13069,GA,Coffee County
13071,GA,Colquitt County
13073,GA,Columbia County
13075,GA,Cook County
13077,GA,Coweta County
13079,GA,Crawford County
13081,GA,Crisp County
13083,GA,Dade County
13085,GA,Dawson County
13087,GA,Decatur County
13089,GA,DeKalb County
13091,GA,Dodge County
13093,GA,Dooly County
13095,GA,Dougherty County
13097,GA,Douglas County
13099,GA,Early County
13101,GA,Echols County
13103,GA,Effingham County
13105,GA,Elbert County
13107,GA,Emanuel County
13109,GA,Evans County
13111,GA,Fannin County
13113,GA,Fayette County
13115,GA,Floyd County
13117,GA,Forsyth County
13119,GA,Franklin County
13121,GA,Fulton County
13123,GA,Gilmer County
13125,GA,Glascock County
13127,GA,Glynn County
13129,GA,Gordon County
13131,GA,Grady County
13133,GA,Greene County
13135,GA,Gwinnett County
13137,GA,Habersham County
13139,GA,Hall County
13141,GA,Hancock County
13143,GA,Haralson County
13145,GA,Harris County
13147,GA,Hart County
13149,GA,Heard County
13151,GA,Henry County
13153,GA,Houston County
13155,GA,Irwin County
13157,GA,Jackson County
13159,GA,Jasper County
13161,GA,Jeff Davis County
13163,GA,Jefferson County
13165,GA,Jenkins County
13167,GA,Johnson County
13169,GA,Jones County
13171,GA,Lamar County
13173,GA,Lanier County
13175,GA,Laurens County
13177,GA,Lee County
13179,GA,Liberty County
13181,GA,Lincoln County
13183,GA,Long County
13185,GA,Lowndes County
13187,GA,Lumpkin County
13189,GA,McDuffie County
13191,GA,McIntosh County
13193,GA,Macon County
13195,GA,Madison County
13197,GA,Marion County
13199,GA,Meriwether County
13201,GA,Miller County
13205,GA,Mitchell County
13207,GA,Monroe County
13209,GA,Montgomery County
13211,GA,Morgan County
13213,GA,Murray County
13215,GA,Muscogee County
13217,GA,Newton County
13219,GA,Oconee County
13221,GA,Oglethorpe County
13223,GA,Paulding County
13225,GA,Peach County
13227,GA,Pickens County
13229,GA,Pierce County
13231,GA,Pike County
13233,GA,Polk County
13235,GA,Pulaski County
13237,GA,Putnam County
13239,GA,Quitman County
13241,GA,Rabun County
13243,GA,Randolph County
13245,GA,Richmond County
13247,GA,Rockdale County
13249,GA,Schley County
13251,GA,Screven County
13253,GA,Seminole County
13255,GA,Spalding County
13257,GA,Stephens County
13259,GA,Stewart County
13261,GA,Sumter County
13263,GA,Talbot County
13265,GA,Taliaferro County
13267,GA,Tattnall County
13269,GA,Taylor County
13271,GA,Telfair County
13273,GA,Terrell County
13275,GA,Thomas County
13277,GA,Tift County
13279,GA,Toombs County
13281,GA,Towns County
13283,GA,Treutlen County
13285,GA,Troup County
13287,GA,Turner County
13289,GA,Twiggs County
13291,GA,Union County
13293,GA,Upson County
13295,GA,Walker County
13297,GA,Walton County
13299,GA,Ware County
13301,GA,Warren County
13303,GA,Washington County
13305,GA,Wayne County
13307,GA,Webster County
13309,GA,Wheeler County
13311,GA,White County
13313,GA,Whitfield County
13315,GA,Wilcox County
13317,GA,Wilkes County
13319,GA,Wilkinson County
13321,GA,Worth County
66010,GU,Guam County
15001,HI,Hawaii County
15003,HI,Honolulu County
15005,HI,Kalawao County
15007,HI,Kauai County
15009,HI,Maui County
19001,IA,Adair County
19003,IA,Adams County
19005,IA,Allamakee County
19007,IA,Appanoose County
19009,IA,Audubon County
19011,IA,Benton County
19013,IA,Black Hawk County
19015,IA,Boone County
19017,IA,Bremer County
19019,IA,Buchanan County
19021,IA,Buena Vista County
19023,IA,Butler County
19025,IA,Calhoun County
19027,IA,Carroll County
19029,IA,Cass County
19031,IA,Cedar County
19033,IA,Cerro Gordo County
19035,IA,Cherokee County
19037,IA,Chickasaw County
19039,IA,Clarke County
19041,IA,Clay County
19043,IA,Clayton County
19045,IA,Clinton County
19047,IA,Crawford County
19049,IA,Dallas County
19051,IA,Davis County
19053,IA,Decatur County
19055,IA,Delaware County
19057,IA,Des Moines County
19059,IA,Dickinson County
19061,IA,Dubuque County
19063,IA,Emmet County
19065,IA,Fayette County
19067,IA,Floyd County
19069,IA,Franklin County
19071,IA,Fremont County
19073,IA,Greene County
19075,IA,Grundy County
19077,IA,Guthrie County
19079,IA,Hamilton County
19081,IA,Hancock County
19083,IA,Hardin County
19085,IA,Harrison County
19087,IA,Henry County
19089,IA,Howard County
19091,IA,Humboldt County
19093,IA,Ida County
19095,IA,Iowa County
19097,IA,Jackson County
19099,IA,Jasper County
19101,IA,Jefferson County
19103,IA,Johnson County
19105,IA,Jones County
19107,IA,Keokuk County
19109,IA,Kossuth County
19111,IA,Lee County
19113,IA,Linn County
19115,IA,Louisa County
19117,IA,Lucas County
19119,IA,Lyon County
19121,IA,Madison County
19123,IA,Mahaska County
19125,IA,Marion County
19127,IA,Marshall County
19129,IA,Mills County
19131,IA,Mitchell County
19133,IA,Monona County
19135,IA,Monroe County
19137,IA,Montgomery County
19139,IA,Muscatine County
19141,IA,O'Brien County
19143,IA,Osceola County
19145,IA,Page County
19147,IA,Palo Alto County
19149,IA,Plymouth County
19151,IA,Pocahontas County
19153,IA,Polk County
19155,IA,Pottawattamie County
19157,IA,Poweshiek County
19159,IA,Ringgold County
19161,IA,Sac County
19163,IA,Scott County
19165,IA,Shelby County
19167,IA,Sioux County
19169,IA,Story County
19171,IA,Tama County
19173,IA,Taylor County
19175,IA,Union County
19177,IA,Van Buren County
19179,IA,Wapello County
19181,IA,Warren County
19183,IA,Washington County
19185,IA,Wayne County
19187,IA,Webster County
19189,IA,Winnebago County
19191,IA,Winneshiek County
19193,IA,Woodbury County
19195,IA,Worth County
19197,IA,Wright County
16001,ID,Ada County
16003,ID,Adams County
16005,ID,Bannock County
16007,ID,Bear Lake County
16009,ID,Benewah County
16011,ID,Bingham County
16013,ID,Blaine County
16015,ID,Boise County
16017,ID,Bonner County
16019,ID,Bonneville County
16021,ID,Boundary County
16023,ID,Butte County
16025,ID,Camas County
16027,ID,Canyon County
16029,ID,Caribou County
16031,ID,Cassia County
16033,ID,Clark County
16035,ID,Clearwater County
16037,ID,Custer County
16039,ID,Elmore County
16041,ID,Franklin County
16043,ID,Fremont County
16045,ID,Gem County
16047,ID,Gooding County
16049,ID,Idaho County
16051,ID,Jefferson County
16053,ID,Jerome County
16055,ID,Kootenai County
16057,ID,Latah County
16059,ID,Lemhi County
16061,ID,Lewis County
16063,ID,Lincoln County
16065,ID,Madison County
16067,ID,Minidoka County
16069,ID,Nez Perce County
16071,ID,Oneida County
16073,ID,Owyhee County
16075,ID,Payette County
16077,ID,Power County
16079,ID,Shoshone County
16081,ID,Teton County
16083,ID,Twin Falls County
16085,ID,Valley County
16087,ID,Washington County
17001,IL,Adams County
17003,IL,Alexander County
17005,IL,Bond County
17007,IL,Boone County
17009,IL,Brown County
17011,IL,Bureau County
17013,IL,Calhoun County
17015,IL,Carroll County
17017,IL,Cass County
17019,IL,Champaign County
17021,IL,Christian County
17023,IL,Clark County
17025,IL,Clay County
17027,IL,Clinton County
17029,IL,Coles County
17031,IL,Cook County
17033,IL,Crawford County
17035,IL,Cumberland County
17037,IL,DeKalb County
17039,IL,De Witt County
17041,IL,Douglas County
17043,IL,DuPage County
17045,IL,Edgar County
17047,IL,Edwards County
17049,IL,Effingham County
17051,IL,Fayette County
17053,IL,Ford County
17055,IL,Franklin County
17057,IL,Fulton County
17059,IL,Gallatin County
17061,IL,Greene County
17063,IL,Grundy County
17065,IL,Hamilton County
17067,IL,Hancock County
17069,IL,Hardin County
17071,IL,Henderson County
17073,IL,Henry County
17075,IL,Iroquois County
17077,IL,Jackson County
17079,IL,Jasper County
17081,IL,Jefferson County
17083,IL,Jersey County
17085,IL,Jo Daviess County
17087,IL,Johnson County
17089,IL,Kane County
17091,IL,Kankakee County
17093,IL,Kendall County
17095,IL,Knox County
17097,IL,Lake County
17099,IL,LaSalle County
17101,IL,Lawrence County
17103,IL,Lee County
17105,IL,Livingston County
17107,IL,Logan County
17109,IL,McDonough County
17111,IL,McHenry County
17113,IL,McLean County
17115,IL,Macon County
17117,IL,Macoupin County
17119,IL,Madison County
17121,IL,Marion County
17123,IL,Marshall County
17125,IL,Mason County
17127,IL,Massac County
17129,IL,Menard County
17131,IL,Mercer County
17133,IL,Monroe County
17135,IL,Montgomery County
17137,IL,Morgan County
17139,IL,Moultrie County
17141,IL,Ogle County
17143,IL,Peoria County
17145,IL,Perry County
17147,IL,Piatt County
17149,IL,Pike County
17151,IL,Pope County
17153,IL,Pulaski County
17155,IL,Putnam County
17157,IL,Randolph County
17159,IL,Richland County
17161,IL,Rock Island County
17163,IL,St. Clair County
17165,IL,Saline County
17167,IL,Sangamon County
17169,IL,Schuyler County
17171,IL,Scott County
17173,IL,Shelby County
17175,IL,Stark County
17177,IL,Stephenson County
17179,IL,Tazewell County
17181,IL,Union County
17183,IL,Vermilion County
17185,IL,Wabash County
17187,IL,Warren County
17189,IL,Washington County
17191,IL,Wayne County
17193,IL,White County
17195,IL,Whiteside County
17197,IL,Will County
17199,IL,Williamson County
17201,IL,Winnebago County
17203,IL,Woodford County
18001,IN,Adams County
18003,IN,Allen County
18005,IN,Bartholomew County
18007,IN,Benton County
18009,IN,Blackford County
18011,IN,Boone County
18013,IN,Brown County
18015,IN,Carroll County
18017,IN,Cass County
18019,IN,Clark County
18021,IN,Clay County
18023,IN,Clinton County
18025,IN,Crawford County
18027,IN,Daviess County
18029,IN,Dearborn County
18031,IN,Decatur County
18033,IN,DeKalb County
18035,IN,Delaware County
18037,IN,Dubois County
18039,IN,Elkhart County
18041,IN,Fayette County
18043,IN,Floyd County
18045,IN,Fountain County
18047,IN,Franklin County
18049,IN,Fulton County
18051,IN,Gibson County
18053,IN,Grant County
18055,IN,Greene County
18057,IN,Hamilton County
18059,IN,Hancock County
18061,IN,Harrison County
18063,IN,Hendricks County
18065,IN,Henry County
18067,IN,Howard County
18069,IN,Huntington County
18071,IN,Jackson County
18073,IN,Jasper County
18075,IN,Jay County
18077,IN,Jefferson County
18079,IN,Jennings County
18081,IN,Johnson County
18083,IN,Knox County
18085,IN,Kosciusko County
18087,IN,LaGrange County
18089,IN,Lake County
18091,IN,LaPorte County
18093,IN,Lawrence County
18095,IN,Madison County
18097,IN,Marion County
18099,IN,Marshall County
18101,IN,Martin County
18103,IN,Miami County
18105,IN,Monroe County
18107,IN,Montgomery County
18109,IN,Morgan County
18111,IN,Newton County
18113,IN,Noble County
18115,IN,Ohio County
18117,IN,Orange County
18119,IN,Owen County
18121,IN,Parke County
18123,IN,Perry County
18125,IN,Pike County
18127,IN,Porter County
18129,IN,Posey County
18131,IN,Pulaski County
18133,IN,Putnam County
18135,IN,Randolph County
18137,IN,Ripley County
18139,IN,Rush County
18141,IN,St. Joseph County
18143,IN,Scott County
18145,IN,Shelby County
18147,IN,Spencer County
18149,IN,Starke County
18151,IN,Steuben County
18153,IN,Sullivan County
18155,IN,Switzerland County
18157,IN,Tippecanoe County
18159,IN,Tipton County
18161,IN,Union County
18163,IN,Vanderburgh County
18165,IN,Vermillion County
18167,IN,Vigo County
18169,IN,Wabash County
18171,IN,Warren County
18173,IN,Warrick County
18175,IN,Washington County
18177,IN,Wayne County
18179,IN,Wells County
18181,IN,White County
18183,IN,Whitley County
